genome	mge_genome_position	IS_Tn	Integron	Phage	Phage_like	Conjugative_element	Mobility_island	mge_length	phage_genes	conjugation_genes	recombinase
1280.SAMEA1569645	1280.SAMEA1569645.CHJE01000015:318-32516	3	0	0	0	0	1	32198	0	0	ser_ce,ser_ce,Rep_1,Rep_1,Rep_1,DDE_Tnp_IS240,DDE_Tnp_IS240
868187.SAMN00199316	868187.SAMN00199316.AIGW01000025:88218-132023	1	0	1	0	0	0	43805	12	0	Phage_integrase,DDE_Tnp_1
1124929.SAMN01813422	1124929.SAMN01813422.AOZH01000116:1-57212	1	0	0	1	0	0	57211	0	0	Phage_integrase,Transposase_31
1280.SAMEA1464484	1280.SAMEA1464484.FFWY01000021:235-20379	3	0	0	0	1	0	20144	0	1	ser_ce,DDE_Tnp_ISL3,rve,Rep_1,Mob_Pre,Mob_Pre
1313.SAMEA1025154	1313.SAMEA1025154.CKSC01000007:40294-82470	1	0	0	0	1	0	42176	0	1	ser_lsr,rve,Relaxase,ser_lsr
766162.SAMN00210757	766162.SAMN00210757.AKNC01000084:126691-167504	7	0	0	0	0	1	40813	0	0	Transposase_20,Int_SXT,Transposase_20,rve,rve_2,DDE_Tnp_IS1,rve,DDE_Tnp_IS1
85569.SAMEA1522005	85569.SAMEA1522005.CTNL01000014:1016-94000	5	0	0	0	1	0	92984	0	15	TrwC,Transposase_31,ser_ce,rve,DDE_3,huh_y1,Phage_integrase
562.SAMN05655961	562.SAMN05655961.NADZ01000017:641730-653812	1	0	0	1	0	0	12082	0	0	ser_ce,Phage_integrase
1296.SAMN05361856	1296.SAMN05361856.MAXU01000004:124475-210218	2	0	0	0	0	1	85743	0	0	ser_lsr,DDE_Tnp_IS240,Transposase_mut
58095.SAMN02367842	58095.SAMN02367842.MXJK01000008:136-32941	1	0	0	0	1	0	32805	0	1	IntKX,rve_3
1313.SAMEA2155718	1313.SAMEA2155718.FIAV01000001:142489-189511	1	0	0	0	1	0	47022	0	2	Phage_integrase,Phage_integrase,huh_y1
562.SAMN02801901	562.SAMN02801901.JSPI01000034:194-21765	2	0	0	0	1	0	21571	0	4	rve,TrwC,DDE_Tnp_IS1
1313.SAMEA1028862	1313.SAMEA1028862.CMFJ01000021:8307-34402	4	0	0	0	1	0	26095	0	1	ser_lsr,ser_lsr,ser_lsr,DDE_Tnp_1,Relaxase,DDE_Tnp_1,DDE_Tnp_1,DDE_Tnp_1
565650.SAMN02595264	565650.SAMN02595264.GG688628:153249-300276	7	0	0	0	1	0	147027	0	3	Int_Tn916,Transposase_mut,DDE_Tnp_IS240,DDE_Tnp_IS240,ser_ce,ser_ce,DDE_Tnp_1,DDE_Tnp_1_6,huh_y1
1217660.SAMN01087855	1217660.SAMN01087855.KE340337:1070036-1228934	17	0	0	1	0	0	158898	0	0	ser_ce,Transposase_mut,Transposase_mut,DDE_Tnp_1_5,DDE_Tnp_IS1,rve_3,ser_ce,Transposase_mut,DDE_Tnp_Tn3,ser_ce,rve,Int_SXT,Phage_integrase,rve,rve,rve,DDE_3,DDE_Tnp_1_5,ser_ce,DDE_Tnp_1,DDE_Tnp_1,Phage_integrase,Transposase_mut,rve
1217660.SAMN01087855	1217660.SAMN01087855.KE340337:773631-806540	2	0	0	1	0	0	32909	0	0	Phage_integrase,DDE_Tnp_1_5,DDE_Tnp_IS66
1280.SAMEA1464347	1280.SAMEA1464347.FGBX01000012:40558-74580	2	0	0	0	0	1	34022	0	0	DDE_Tnp_IS240,DDE_Tnp_1,ser_lsr
1280.SAMEA1464625	1280.SAMEA1464625.FGNL01000015:40711-74613	2	0	0	0	0	1	33902	0	0	DDE_Tnp_IS240,DDE_Tnp_1,ser_lsr
1796.SAMN03744420	1796.SAMN03744420.LDPU01000001:85-106782	2	0	0	1	0	0	106697	0	0	DDE_Tnp_Tn3,Phage_integrase,DDE_Tnp_1_4
1796.SAMN03744420	1796.SAMN03744420.LDPU01000001:304635-397721	4	0	0	1	0	0	93086	0	0	Phage_integrase,DDE_Tnp_1_4,rve,rve,DDE_Tnp_1_4
1796.SAMN03744420	1796.SAMN03744420.LDPU01000001:1517699-1639691	3	0	0	0	0	1	121992	0	0	Transposase_mut,DDE_Tnp_1_4,DDE_Tnp_1_4,Int_Tn916
1796.SAMN03744420	1796.SAMN03744420.LDPU01000001:3974705-4008438	1	0	0	1	0	0	33733	0	0	Phage_integrase,TnpA
1339323.SAMN02314564	1339323.SAMN02314564.JGEM01000086:86556-143187	3	0	0	0	1	0	56631	0	1	Transposase_20,Phage_integrase,rve,DDE_Tnp_1_6,Mob_Pre,Phage_integrase
562.SAMN05729286	562.SAMN05729286.MIVW01000019:45-49687	2	0	0	0	1	0	49642	0	8	Relaxase,Transposase_31,Phage_integrase,rve
336306.SAMN04155457	336306.SAMN04155457.LKUI01000005:1-43434	2	0	0	0	1	0	43433	0	7	ser_ce,rve,DDE_Tnp_Tn3
1446685.SAMN02353111	1446685.SAMN02353111.JHIG01000001:145105-189412	1	0	1	0	0	0	44307	16	0	rve,ser_ce
546.SAMN02872722	546.SAMN02872722.JRST01000005:184-96154	8	0	0	0	0	1	95970	0	0	Transposase_mut,rve,rve,rve_3,rve,DDE_Tnp_IS66,rve,Transposase_20,Int_SXT
1182683.SAMN00854635	1182683.SAMN00854635.KB732817:45-97002	5	0	0	1	0	0	96957	0	0	Phage_integrase,Phage_integrase,DDE_Tnp_IS240,huh_y2,DEDD_Tnp_IS110,DDE_Tnp_Tn3,ser_ce,Transposase_31
573.SAMN03076170	573.SAMN03076170.LQQE01000009:23367-59620	4	0	0	0	1	0	36253	0	1	Transposase_mut,rve_3,rve_3,rve,Int_SXT
90370.SAMEA2153406	90370.SAMEA2153406.CIZY01000003:59479-98271	1	0	0	0	0	1	38792	0	0	Int_SXT,rve_3
90370.SAMEA1572847	90370.SAMEA1572847.CJQG01000001:83885-96366	1	0	0	1	0	0	12481	0	0	Transposase_mut,Phage_integrase
1280.SAMEA862528	1280.SAMEA862528.CTWW01000047:27-20448	3	0	0	0	1	0	20421	0	3	Transposase_mut,Transposase_mut,rve
1685.SAMD00047602	1685.SAMD00047602.BCXR01000043:8695-45852	1	0	0	0	0	1	37157	0	0	Int_Tn916,rve
1422550.SAMN02404133	1422550.SAMN02404133.KK231670:76-4778	1	0	0	1	0	0	4702	0	0	Phage_integrase,TnpA
1311.SAMEA1031535	1311.SAMEA1031535.CQDA01000003:183763-199179	1	0	0	0	0	1	15416	0	0	Rep_2,Int_Tn916,rve
1313.SAMEA2238909	1313.SAMEA2238909.FCWE01000009:6732-37763	1	0	1	0	0	0	31031	4	0	Phage_integrase,Phage_integrase,DDE_3
1455599.SAMN02640647	1455599.SAMN02640647.JDWR01000019:353-70551	5	0	0	0	1	0	70198	0	2	rve,rve,rve,Phage_integrase,Transposase_mut,rve
294.SAMN03650286	294.SAMN03650286.LCYT01000020:217362-300239	3	0	0	1	0	0	82877	0	0	DDE_Tnp_1,rve,Phage_integrase,DDE_Tnp_1
28901.SAMN03842015	28901.SAMN03842015.LIKP01000018:288124-330666	1	0	0	0	0	1	42542	0	0	Int_SXT,rve
526977.SAMN03107142	526977.SAMN03107142.CP009628:169-367146	2	0	1	0	0	0	366977	7	0	Phage_integrase,Int_Tn916,PDDEXK_2,OrfB_IS605
90370.SAMEA2154173	90370.SAMEA2154173.CHMF01000001:370060-382541	1	0	0	1	0	0	12481	0	0	Phage_integrase,Transposase_mut
573.SAMN05732389	573.SAMN05732389.MOXL01000034:641-22706	3	0	0	0	1	0	22065	0	1	rve,rve_3,Transposase_mut
28901.SAMN03358067	28901.SAMN03358067.MYSA01000031:79-56001	7	1	0	1	0	0	55922	0	0	DEDD_Tnp_IS110,rve,rve,Transposase_mut,huh_y2,Integron,ser_ce,DDE_Tnp_Tn3,DDE_Tnp_1_4,Phage_integrase
29385.SAMN04244239	29385.SAMN04244239.LMYX01000031:644365-649975	1	0	0	1	0	0	5610	0	0	rve,Phage_integrase
573.SAMN04168661	573.SAMN04168661.LLWZ01000036:112-13115	3	0	0	1	0	0	13003	0	0	rve,DEDD_Tnp_IS110,rve_3,Phage_integrase
1396.SAMN05608081	1396.SAMN05608081.MQTJ01000006:703-140747	3	0	0	0	1	0	140044	0	2	Phage_integrase,PDDEXK_2,Phage_integrase,rve,huh_y1
1736470.SAMN04155739	1736470.SAMN04155739.LMFX01000051:12945-48341	1	0	0	1	0	0	35396	0	0	ser_ce,Phage_integrase
1418330.SAMN02402543	1418330.SAMN02402543.KK094763:75-33968	1	0	0	0	0	1	33893	0	0	ser_lsr,rve
1185706.SAMN01090351	1185706.SAMN01090351.AKEU01000045:615-5605	1	0	0	1	0	0	4990	0	0	Phage_integrase,DDE_Tnp_Tn3
1313.SAMEA1028883	1313.SAMEA1028883.CLSJ01000007:13355-105890	2	0	0	0	1	0	92535	0	5	Phage_integrase,Phage_integrase,huh_y1,Int_Tn916,rve
1280.SAMEA734672	1280.SAMEA734672.CTTB01000014:13917-21340	1	0	0	1	0	0	7423	0	0	Phage_integrase,TnpA
1281024.SAMN01885736	1281024.SAMN01885736.KE699608:893926-915597	1	0	0	1	0	0	21671	0	0	Int_BPP-1,DDE_Tnp_IS1
1281024.SAMN01885736	1281024.SAMN01885736.KE699608:1076970-1132621	1	0	1	0	0	0	55651	13	0	ser_ce,rve,Int_BPP-1
1281024.SAMN01885736	1281024.SAMN01885736.KE699608:723219-799439	2	0	1	0	0	0	76220	13	0	Transposase_20,Int_BPP-1,DDE_Tnp_IS1
1281024.SAMN01885736	1281024.SAMN01885736.KE699608:1540518-1584243	1	0	1	0	0	0	43725	15	0	ser_ce,rve
1281024.SAMN01885736	1281024.SAMN01885736.KE699608:15693-122836	5	0	1	0	0	0	107143	2	0	Int_SXT,DDE_Tnp_IS1,DDE_Tnp_IS1,rve,Phage_integrase,DDE_Tnp_IS1,DDE_Tnp_IS1,DDE_Tnp_IS1
1281024.SAMN01885736	1281024.SAMN01885736.KE699608:343719-413743	1	0	1	0	0	0	70024	18	0	Int_P2,DDE_Tnp_IS1
90370.SAMEA2157136	90370.SAMEA2157136.CJNT01000001:392545-405027	1	0	0	1	0	0	12482	0	0	Phage_integrase,Transposase_mut
1348973.SAMN02726830	1348973.SAMN02726830.JJRY01000012:571-140088	1	0	0	1	0	0	139517	0	0	Phage_integrase,DDE_Tnp_1
562.SAMN05200886	562.SAMN05200886.LZDV01000082:1-22276	1	0	0	1	0	0	22275	0	0	ser_ce,Phage_integrase
562.SAMN05200886	562.SAMN05200886.LZDV01000082:142309-151301	1	0	0	0	0	1	8992	0	0	Int_SXT,DDE_Tnp_IS66
1185650.SAMEA2146670	1185650.SAMEA2146670.FSQG01000007:51034-140844	2	0	0	1	0	0	89810	0	0	rve,TnpA,Phage_integrase
287.SAMEA2357534	287.SAMEA2357534.FRQM01000045:149-20776	1	0	0	0	0	1	20627	0	0	DDE_Tnp_1,Int_SXT
1310723.SAMN02404527	1310723.SAMN02404527.JFEL02000002:63227-87088	1	0	0	1	0	0	23861	0	0	Phage_integrase,rve
562.SAMN04910092	562.SAMN04910092.LXFA01000023:1-81173	1	0	1	0	0	0	81172	4	0	ser_ce,Int_P2,Phage_integrase,Phage_integrase
98360.SAMN02699362	98360.SAMN02699362.JZAG01000001:103441-151704	1	0	1	0	0	0	48263	6	0	DDE_Tnp_IS66,Int_BPP-1
287.SAMN03105423	287.SAMN03105423.JTZI01000024:169-75420	1	0	0	0	1	0	75251	0	20	rve,IntKX
366522.SAMD00023484	366522.SAMD00023484.AP014724:1607288-1670289	1	0	1	0	0	0	63001	9	0	rve,rve,cas1
366522.SAMD00023484	366522.SAMD00023484.AP014724:171081-188529	1	0	0	1	0	0	17448	1	0	rve,Phage_GPA,Phage_integrase
28901.SAMN03357119	28901.SAMN03357119.MXCL01000002:399894-427154	1	0	0	0	1	0	27260	0	1	ser_ce,Relaxase,Int_SXT
562.SAMEA2593909	562.SAMEA2593909.LM995725:493-25658	1	0	0	0	1	0	25165	0	6	TrwC,rve
573.SAMEA3531778	573.SAMEA3531778.FLVW01000002:691498-759183	1	0	1	0	0	0	67685	5	0	Transposase_31,Int_SXT
95486.SAMN04252993	95486.SAMN04252993.LNCR01000077:72-269551	9	0	0	0	1	0	269479	0	1	DDE_Tnp_Tn3,DDE_Tnp_IS240,rve_3,ser_ce,DDE_Tnp_IS240,ser_ce,Tn7_Tnp_TnsA_N,rve_2,rve,rve,rve
287.SAMN04128673	287.SAMN04128673.LLSI01000047:80902-128528	1	0	0	0	1	0	47626	0	11	Phage_integrase,rve_3
287.SAMN04128673	287.SAMN04128673.LLSI01000047:23983-34935	1	0	0	1	0	0	10952	0	0	ser_ce,Phage_integrase
562.SAMEA3715969	562.SAMEA3715969.FBUL01000011:632-19983	1	0	0	1	0	0	19351	0	0	DEDD_Tnp_IS110,Phage_integrase
666.SAMN03381398	666.SAMN03381398.JZUA01000005:1528-60785	1	1	0	0	1	0	59257	0	15	rve,Integron
546.SAMN02872774	546.SAMN02872774.JRTD01000083:137-17027	1	0	0	0	1	0	16890	0	1	TrwC,DDE_Tnp_IS66
573.SAMN03280319	573.SAMN03280319.KQ236849:280-43474	2	0	0	0	1	0	43194	0	9	ser_ce,DDE_Tnp_IS240,DDE_Tnp_Tn3,DDE_Tnp_Tn3,Relaxase
1296536.SAMN03401394	1296536.SAMN03401394.LDQR01000011:223-279556	1	0	0	0	1	0	279333	0	8	Int_SXT,rve_3
573.SAMEA3108431	573.SAMEA3108431.CDFZ01000011:104209-124964	1	0	0	0	0	1	20755	0	0	rve_3,Int_SXT
28901.SAMN03358261	28901.SAMN03358261.MYRH01000001:271578-306743	1	0	1	0	0	0	35165	8	0	Phage_integrase,Phage_integrase,Phage_integrase,Transposase_mut
1822223.SAMN04580762	1822223.SAMN04580762.LWEO01000246:7606-20540	1	0	0	1	0	0	12934	0	0	DDE_Tnp_1,Phage_integrase
1280.SAMEA734684	1280.SAMEA734684.CTUR01000030:108-22139	4	0	0	0	1	0	22031	0	1	ser_ce,DDE_Tnp_ISL3,rve,Rep_1,Mob_Pre,Mob_Pre,rve
61645.SAMN03261526	61645.SAMN03261526.JWPV01000041:506-21417	1	0	0	0	1	0	20911	0	1	Phage_integrase,DDE_Tnp_1
72407.SAMN04087462	72407.SAMN04087462.CP012744:4705947-4751435	3	0	0	0	1	0	45488	0	2	Transposase_mut,rve_3,DDE_Tnp_IS1,Relaxase,Int_SXT
72407.SAMN04087462	72407.SAMN04087462.CP012744:2906735-3028644	1	0	1	0	0	0	121909	4	0	rve_3,ser_ce
72407.SAMN04087462	72407.SAMN04087462.CP012744:1089027-1119882	1	0	0	1	0	0	30855	0	0	Phage_integrase,DDE_Tnp_IS1
72407.SAMN04087462	72407.SAMN04087462.CP012744:1365537-1436460	1	0	1	0	0	0	70923	5	0	Int_SXT,Transposase_31
72407.SAMN04087462	72407.SAMN04087462.CP012744:36328-89583	5	0	1	0	0	0	53255	2	0	DDE_Tnp_IS240,DDE_3,DDE_Tnp_IS1,DDE_Tnp_IS1,DDE_Tnp_IS66,rve
72407.SAMN04087462	72407.SAMN04087462.CP012744:3495126-3533015	1	0	1	0	0	0	37889	17	0	ser_ce,Phage_GPA,Phage_integrase
1351.SAMN03197552	1351.SAMN03197552.JVKC01000091:40433-66186	1	0	0	0	1	0	25753	0	3	Int_Tn916,rve
1280974.SAMN01885686	1280974.SAMN01885686.KI669331:452044-514884	1	0	0	0	0	1	62840	0	0	Int_SXT,rve_3
43306.SAMN03197712	43306.SAMN03197712.JVDY01000177:1504-40898	1	0	0	0	1	0	39394	0	13	rve_3,DDE_Tnp_Tn3
1389419.SAMN02470235	1389419.SAMN02470235.AYNH01000052:1-19189	1	0	0	0	0	1	19188	0	0	Int_SXT,rve_3
446.SAMEA2080694	446.SAMEA2080694.FJKR01000002:79209-150987	1	0	0	0	1	0	71778	0	13	DDE_Tnp_ISL3,Int_SXT
1870950.SAMN04252909	1870950.SAMN04252909.LPPZ01000039:1-63251	2	0	0	0	1	0	63250	0	15	TrwC,Transposase_31,ser_ce
446.SAMEA2077788	446.SAMEA2077788.FJJV01000007:287-72113	4	0	0	0	1	0	71826	0	11	Phage_integrase,DDE_3,DDE_Tnp_ISL3,DDE_3,DDE_Tnp_Tn3,ser_ce,Relaxase,Phage_integrase
562.SAMN02640755	562.SAMN02640755.JHTJ01000016:93616-102127	1	0	0	0	0	1	8511	0	0	Int_SXT,DDE_Tnp_IS1
550.SAMEA2273301	550.SAMEA2273301.FJWJ01000013:223-81946	2	0	0	0	1	0	81723	1	20	rve,ser_ce,Phage_integrase,Phage_integrase
1422696.SAMN02404279	1422696.SAMN02404279.KK238454:107035-112382	1	0	0	1	0	0	5347	0	0	Phage_integrase,TnpA
1388446.SAMN02325570	1388446.SAMN02325570.KI967725:75-33968	1	0	0	0	0	1	33893	0	0	ser_lsr,rve
1151226.SAMN01883258	1151226.SAMN01883258.AVQV01000042:144-31470	1	0	0	1	0	0	31326	0	0	rve,Int_BPP-1
1358416.SAMN04301589	1358416.SAMN04301589.AUTB01000098:1-27707	1	0	0	0	1	0	27706	0	7	DDE_Tnp_IS66,MobA_MobL
90370.SAMEA2072906	90370.SAMEA2072906.CIXL01000003:59282-98090	1	0	0	0	0	1	38808	0	0	Int_SXT,rve_3
913079.SAMN06041147	913079.SAMN06041147.MRAM01000038:36176-63012	1	0	0	0	0	1	26836	0	0	Int_SXT,rve
60552.SAMN03449229	60552.SAMN03449229.LOWI01000030:1-56723	1	0	0	0	0	1	56722	0	0	ser_ce,Int_SXT
1446500.SAMN02352886	1446500.SAMN02352886.JHOE01000118:1-46113	4	0	0	0	0	1	46112	0	0	DDE_Tnp_IS66,DDE_Tnp_IS66,DDE_Tnp_IS66,DDE_Tnp_IS66,Int_SXT
573.SAMEA3140027	573.SAMEA3140027.CDNA01000038:110-61592	2	0	0	0	1	0	61482	0	15	TrwC,DDE_Tnp_1,DDE_Tnp_IS1
1446568.SAMN02353011	1446568.SAMN02353011.JHMG01000030:97438-111683	2	0	0	1	0	0	14245	0	0	Transposase_mut,Transposase_mut,Phage_integrase
1000570.SAMN02441718	1000570.SAMN02441718.KB891973:398316-412875	1	0	0	0	0	1	14559	0	0	Int_Tn916,ser_ce
85569.SAMEA1484085	85569.SAMEA1484085.CTCD01000025:503-7185	1	0	0	1	0	0	6682	0	0	DDE_Tnp_IS240,Phage_integrase
149539.SAMN02367624	149539.SAMN02367624.MXNE01000002:40913-80830	1	0	1	0	0	0	39917	16	0	Phage_GPA,Phage_integrase,rve_3,huh_y1
1157461.SAMN00808993	1157461.SAMN00808993.KB947717:100667-132980	1	0	0	0	0	1	32313	0	0	Int_Tn916,rve
90371.SAMN05200444	90371.SAMN05200444.MXAY01000003:231-93640	4	0	0	0	1	0	93409	0	15	Transposase_31,ser_ce,rve,DDE_3,Phage_integrase,TrwC
90370.SAMEA1903759	90370.SAMEA1903759.CEYM01000005:152237-191064	1	0	0	0	0	1	38827	0	0	rve_3,Int_SXT
430531.SAMN03449261	430531.SAMN03449261.CM003626:2315397-2460473	3	0	0	0	1	0	145076	0	19	DDE_Tnp_1,DDE_Tnp_1,Int_SXT,DDE_Tnp_IS1595
430531.SAMN03449261	430531.SAMN03449261.CM003626:452866-496401	1	0	0	0	0	1	43535	0	0	Int_SXT,DDE_Tnp_1
430531.SAMN03449261	430531.SAMN03449261.CM003626:1929805-2143770	2	0	1	0	0	0	213965	20	0	DDE_Tnp_1,Phage_GPA,DDE_3
149539.SAMN06074063	149539.SAMN06074063.MZSJ01000013:1-58371	5	0	0	0	1	0	58370	0	3	Phage_integrase,huh_y1,DDE_3,rve,ser_ce,Transposase_31
1116035.SAMN00829285	1116035.SAMN00829285.AQDB01000120:18-18108	3	0	0	1	0	0	18090	0	0	Transposase_mut,DDE_Tnp_1,rve_3,Phage_integrase
1116026.SAMN00829276	1116026.SAMN00829276.AQDJ01000043:329341-343340	3	0	0	0	0	1	13999	0	0	Int_SXT,rve,Transposase_mut,rve
562.SAMEA2593973	562.SAMEA2593973.CCRD01000025:444-98166	2	0	0	1	0	0	97722	0	0	Phage_integrase,Phage_integrase,Transposase_31,Transposase_31
1134788.SAMN02299464	1134788.SAMN02299464.JH806343:104-118079	2	0	0	0	1	0	117975	0	6	Relaxase,rve,DEDD_Tnp_IS110,Relaxase,Int_Tn916
305.SAMEA3137588	305.SAMEA3137588.CDLX01000001:2270844-2316792	1	0	0	1	0	0	45948	0	0	DDE_Tnp_Tn3,Phage_integrase
573.SAMEA4370547	573.SAMEA4370547.FWJU01000002:729686-743782	1	0	0	0	0	1	14096	0	0	rve,Int_SXT
562.SAMN04002674	562.SAMN04002674.LPWY01000083:56418-109249	1	0	0	0	0	1	52831	0	0	Int_SXT,rve
1157484.SAMN00808914	1157484.SAMN00808914.KB949447:545522-572155	1	0	0	0	0	1	26633	0	0	Int_Tn916,rve
562.SAMN03922980	562.SAMN03922980.LQTY01000198:1-22320	1	0	0	1	0	0	22319	0	0	Phage_integrase,Phage_integrase,DDE_Tnp_ISL3
13373.SAMN03010440	13373.SAMN03010440.CP009337:3202283-3205779	1	0	0	0	0	1	3496	0	0	rve_3,Int_P2
1329843.SAMN02138664	1329843.SAMN02138664.KL407350:418-67187	10	0	0	1	0	0	66769	1	0	DDE_Tnp_IS66,Phage_integrase,DDE_Tnp_IS240,ser_ce,TnpR,DDE_Tnp_Tn3,rve,DDE_Tnp_1,rve,rve,rve,ser_ce,Transposase_31
1218100.SAMD00046906	1218100.SAMD00046906.BCZM01000004:12543-28746	1	0	0	0	0	1	16203	0	0	Transposase_mut,Int_SXT
1438745.SAMN02581341	1438745.SAMN02581341.KK737094:1-54967	1	0	0	0	1	0	54966	0	15	rve,TrwC
573.SAMEA2273694	573.SAMEA2273694.FLBO01000023:129-23130	4	0	0	1	0	0	23001	0	0	rve,DDE_Tnp_IS1,DDE_Tnp_1_5,Phage_integrase,OrfB_IS605
562.SAMN04376818	562.SAMN04376818.LVPE01000045:67-56009	2	0	0	0	1	0	55942	0	18	Int_P2,Relaxase,Transposase_31,DDE_Tnp_IS1
29388.SAMN03197822	29388.SAMN03197822.JUZS01000059:67-5247	1	0	0	0	1	0	5180	0	1	DDE_Tnp_IS240,Mob_Pre,Rep_1,Rep_1
1500302.SAMN02787149	1500302.SAMN02787149.FOED01000005:382557-435803	1	0	0	0	1	0	53246	0	19	IntKX,rve
562.SAMN03177636	562.SAMN03177636.JWZK01000054:129-46384	3	0	0	1	0	0	46255	0	0	Phage_integrase,DDE_Tnp_IS66,DDE_Tnp_IS66,DDE_Tnp_Tn3,ser_ce
1417033.SAMN02398725	1417033.SAMN02398725.KK070516:1-16398	1	0	0	0	0	1	16397	0	0	DDE_Tnp_1,ser_lsr
1328344.SAMN02092507	1328344.SAMN02092507.ATHB01000001:1065402-1074435	1	0	0	1	0	0	9033	0	0	Phage_integrase,ser_ce
1328344.SAMN02092507	1328344.SAMN02092507.ATHB01000001:956669-972377	1	0	1	0	0	0	15708	2	0	Phage_integrase,DDE_Tnp_1
562.SAMEA3498453	562.SAMEA3498453.CXYC01000034:46-40612	4	0	0	1	0	0	40566	0	0	Phage_integrase,Phage_integrase,rve,Transposase_20,rve,rve
95486.SAMN05001970	95486.SAMN05001970.MUJQ01000015:62233-796298	4	0	0	0	1	0	734065	0	12	Relaxase,DEDD_Tnp_IS110,rve,Transposase_mut,Transposase_mut
1311044.SAMN02644709	1311044.SAMN02644709.JHCR01000054:20-2612	1	0	0	1	0	0	2592	0	0	DDE_Tnp_1_5,Phage_integrase
768486.SAMN02596951	768486.SAMN02596951.ASVZ01000003:79435-89985	1	0	0	1	0	0	10550	0	0	ser_ce,Phage_integrase,Int_Tn916
1307.SAMEA1566095	1307.SAMEA1566095.FIRM01000002:207428-285444	1	0	0	0	1	0	78016	0	6	Int_Tn916,Relaxase,Int_Tn916,ser_lsr,DDE_Tnp_1_4
90371.SAMN02368672	90371.SAMN02368672.MXYY01000023:41039-75641	1	0	0	0	0	1	34602	0	0	Int_SXT,rve
1313.SAMEA1029440	1313.SAMEA1029440.CMKX01000019:747-18229	2	0	0	0	1	0	17482	0	1	DDE_Tnp_1_6,DDE_Tnp_1,Relaxase,ser_lsr
1280.SAMEA1708992	1280.SAMEA1708992.FMPT01000035:635-12873	1	0	0	0	0	1	12238	0	0	Rep_1,ser_ce,ser_ce
1582.SAMN03840869	1582.SAMN03840869.LNQD01000015:73-6611	1	0	0	0	0	1	6538	0	0	rve,Int_Tn916
1423730.SAMN02369434	1423730.SAMN02369434.AYZJ01000024:1-60467	1	0	0	0	1	0	60466	0	3	DDE_Tnp_1,ser_ce
1422281.SAMN02403831	1422281.SAMN02403831.KK099570:156965-164547	1	0	0	1	0	0	7582	0	0	Phage_integrase,TnpA
562.SAMN03265483	562.SAMN03265483.LFZH01000003:40-103161	20	0	0	0	1	0	103121	0	10	DDE_Tnp_IS66,rve_3,rve,TrwC,rve,DDE_Tnp_IS66,DDE_Tnp_IS66,DDE_Tnp_IS66,rve,DDE_Tnp_IS1,DDE_Tnp_IS66,rve,rve,Transposase_mut,rve,rve_3,rve,rve,huh_y2,DDE_Tnp_IS66,rve_3
287.SAMD00027370	287.SAMD00027370.AP014839:5301631-5407498	3	0	0	0	1	0	105867	0	20	rve,rve,DDE_Tnp_ISL3,IntKX
287.SAMD00027370	287.SAMD00027370.AP014839:4643704-4655499	1	0	0	1	0	0	11795	0	0	Phage_integrase,ser_ce
287.SAMD00027370	287.SAMD00027370.AP014839:2416613-2522833	3	0	0	0	1	0	106220	0	21	Int_SXT,rve,DDE_Tnp_1,DDE_Tnp_Tn3
287.SAMD00027370	287.SAMD00027370.AP014839:2596386-2622750	3	0	0	1	0	0	26364	0	0	rve_3,rve,rve,Phage_integrase
47853.SAMN04488106	47853.SAMN04488106.FMCT01000014:157929-205792	1	0	0	0	0	1	47863	0	0	DDE_3,Int_Tn916
446.SAMEA2064380	446.SAMEA2064380.FJEG01000001:219656-258261	1	0	0	0	1	0	38605	0	11	Relaxase,Int_BPP-1,DDE_Tnp_1
446.SAMEA2064380	446.SAMEA2064380.FJEG01000001:1928873-1943221	1	0	0	1	0	0	14348	0	0	Phage_integrase,ser_ce
1111734.SAMN02441222	1111734.SAMN02441222.ATYU01000021:10451-64097	2	0	0	0	1	0	53646	0	1	huh_y1,ser_ce,Relaxase
1367456.SAMD00000757	1367456.SAMD00000757.BATH01000043:639-87425	2	0	0	1	0	0	86786	0	0	rve_3,rve_3,Phage_integrase
85569.SAMEA773577	85569.SAMEA773577.CTHT01000024:112-34714	1	0	0	0	0	1	34602	0	0	rve,Int_SXT
1313.SAMEA1032634	1313.SAMEA1032634.CHWT02000082:154-23031	1	0	0	0	0	1	22877	0	0	DDE_Tnp_1,ser_lsr
562.SAMN04376803	562.SAMN04376803.LVOP01000041:75-58456	1	0	0	0	1	0	58381	0	9	Int_P2,rve
1774.SAMN05897982	1774.SAMN05897982.MLIA01000015:164910-187933	1	0	0	0	0	1	23023	0	0	ser_ce,Int_Tn916
1265650.SAMEA2272677	1265650.SAMEA2272677.CASU01000020:150441-183246	1	0	0	0	1	0	32805	0	1	rve_3,IntKX
562.SAMEA1466194	562.SAMEA1466194.CYCE01000056:778-6087	1	0	0	1	0	0	5309	0	0	Phage_integrase,huh_y2
562.SAMN02801858	562.SAMN02801858.JSQZ01000114:179-32541	3	0	0	1	0	0	32362	0	0	DDE_Tnp_IS66,Phage_integrase,Phage_integrase,rve,DDE_Tnp_ISL3
28450.SAMN04208684	28450.SAMN04208684.LWZQ01000080:103929-124116	1	0	0	0	1	0	20187	1	1	rve_3,Int_P2
1265662.SAMEA2272351	1265662.SAMEA2272351.CARX01000042:441-21509	1	0	0	0	1	0	21068	0	1	Transposase_20,Int_SXT,MobA_MobL
