specI	genomeID	kingdom	phylum	class	order	family	genus	species	assembly_status	Marker_lineage	checkM_completness	checkM_contamination
specI_v3_Cluster340	1280.SAMEA1464616	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464617	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464618	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464619	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464620	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464621	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464622	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464623	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464624	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464625	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464626	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.48	0.22
specI_v3_Cluster340	1280.SAMEA1464627	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1464628	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464629	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1464630	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464631	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.4	0.22
specI_v3_Cluster340	1280.SAMEA1464632	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464633	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464634	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464635	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464636	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.47	0.22
specI_v3_Cluster340	1280.SAMEA1464637	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.41	0.23
specI_v3_Cluster340	1280.SAMEA1464638	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464639	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1464640	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.78
specI_v3_Cluster340	1280.SAMEA1464641	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464642	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464643	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464644	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464645	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464647	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464648	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464649	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464650	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464651	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464652	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464653	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464654	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464655	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464656	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464657	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464658	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464659	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464660	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464661	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464662	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464663	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464664	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464665	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.14
specI_v3_Cluster340	1280.SAMEA1464666	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464667	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464668	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464669	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464670	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464671	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.11
specI_v3_Cluster340	1280.SAMEA1464672	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464673	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464674	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464675	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.24
specI_v3_Cluster340	1280.SAMEA1464676	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464677	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464678	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464679	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464680	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464681	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464682	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464683	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464684	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464685	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464686	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464687	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464688	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464689	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464690	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464691	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464692	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.11
specI_v3_Cluster340	1280.SAMEA1464693	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464694	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464696	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.41	0.22
specI_v3_Cluster340	1280.SAMEA1464697	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.32	0.22
specI_v3_Cluster340	1280.SAMEA1464698	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464699	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464700	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464701	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.28
specI_v3_Cluster340	1280.SAMEA1464702	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464703	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464704	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464705	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	98.95	0.1
specI_v3_Cluster340	1280.SAMEA1464706	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464707	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1464708	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464710	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464711	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464712	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464713	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464714	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464715	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464716	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464717	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.26
specI_v3_Cluster340	1280.SAMEA1464718	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464719	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.11
specI_v3_Cluster340	1280.SAMEA1464720	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1464721	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.11
specI_v3_Cluster340	1280.SAMEA1464722	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.22
specI_v3_Cluster340	1280.SAMEA1466448	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466449	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466450	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466451	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466452	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466454	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466455	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1466456	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466457	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466458	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1466460	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466461	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466462	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466463	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466464	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1466466	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466467	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	1.2
specI_v3_Cluster340	1280.SAMEA1466468	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466469	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466470	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466471	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
specI_v3_Cluster340	1280.SAMEA1466472	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466473	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466475	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466476	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.64
specI_v3_Cluster340	1280.SAMEA1466477	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	WGS	g__Staphylococcus_(UID301)	99.51	0.08
